,title,genres
332,The Christmas Chronicles,"comedy,action-and-adventure,family,fantasy"
333,Sour Grapes,documentary
334,Walk Hard: The Dewey Cox Story,"comedy,drama,musical"
335,Adam Sandler: 100% Fresh,"comedy,stand-up-and-talk"
336,Cargo,"drama,thriller,action-and-adventure,horror"
337,The Interview,"action-and-adventure,comedy"
338,The Willoughbys,"animation,comedy,family,action-and-adventure"
339,Cuba and the Cameraman,documentary
340,Williams,"documentary,biography,sport"
341,Bad Boys II,"action-and-adventure,comedy,crime,mystery,thriller,drama"
342,Us and Them,"drama,romance"
343,Triple Frontier,"action-and-adventure,thriller,crime,drama,mystery"
344,It Comes at Night,"horror,mystery,drama,thriller"
345,Turbo,"action-and-adventure,children,comedy,animation,family"
346,Springsteen On Broadway,"documentary,musical"
347,Delhi Belly,"comedy,crime,drama,action-and-adventure"
348,Bright,"action-and-adventure,crime,fantasy,science-fiction"
349,Being Elmo: A Puppeteer's Journey,"documentary,family"
350,The Sky Is Pink,"drama,family,romance"
351,Calibre,"thriller,mystery"
352,Mansfield Park,"comedy,drama,romance"
353,Mary and the Witch's Flower,"animation,anime,action-and-adventure,family,fantasy"
354,Bobby Robson: More Than a Manager,"documentary,sport"
355,First They Killed My Father,"biography,drama,history"
356,21,"biography,crime,drama,history,thriller,mystery"
357,Outlaw King,"drama,action-and-adventure,history,biography"
358,The American Meme,documentary
359,The Babysitter,"horror,action-and-adventure,comedy"
360,The Devil We Know,documentary
361,Heneral Luna,"comedy,action-and-adventure,drama,history"
362,Even the Rain,"drama,history"
363,Jodhaa Akbar,"action-and-adventure,biography,drama,history,romance"
364,Up in Smoke,"comedy,cult,musical"
365,Kai Po Che!,"drama,sport"
366,The Ritual,horror
367,Super Dark Times,"drama,thriller,crime,horror,mystery"
368,Get Me Roger Stone,"documentary,biography,history"
369,Krisha,"comedy,drama"
370,Tomorrow Never Dies,"action-and-adventure,thriller,mystery"
371,Dear Ex,"comedy,lgbtq,romance,drama"
372,"Extremely Wicked, Shockingly Evil and Vile","thriller,crime,drama,biography,mystery"
373,Kill the Messenger,"thriller,biography,crime,drama,mystery,action-and-adventure"
374,How the Grinch Stole Christmas,"comedy,family,fantasy"
375,The Duchess,"biography,drama,history,romance"
376,Veronica,"drama,horror"
377,Beasts of No Nation,drama
378,Chitty Chitty Bang Bang,"action-and-adventure,family,fantasy,musical,comedy"
379,Click,"comedy,drama,fantasy,romance"
380,De Palma,"documentary,biography"
381,She's Gotta Have It,"comedy,romance"
382,Cairo Station,"crime,drama,comedy"
383,The Lovebirds,"action-and-adventure,comedy,romance,crime,mystery,thriller"
384,Alex Strangelove,"comedy,lgbtq,drama,romance"
385,Holding the Man,"biography,drama,romance"
386,Girl,"drama,lgbtq"
387,Bareilly's Barfi,"comedy,romance"
388,Tallulah,"comedy,lgbtq,drama,romance"
389,Operation Odessa,documentary
390,A Wednesday!,"crime,drama,mystery,thriller"
391,Alpha Dog,"biography,crime,drama,thriller,mystery"
392,Other People,"drama,comedy"
393,Spectral,"action-and-adventure,science-fiction,mystery,thriller"
394,Bleed for This,"drama,biography,sport"
395,Bloodsport,"action-and-adventure,biography,drama,sport"
396,Terminator Salvation,"action-and-adventure,science-fiction,mystery,thriller,drama"
397,The Lake House,"drama,fantasy,romance,mystery,thriller,documentary"
398,I am Divine,"documentary,lgbtq"
399,Mune: Guardian of the Moon,"animation,action-and-adventure,family,comedy,fantasy"
400,Hotel Transylvania 3: Summer Vacation,"family,fantasy,comedy,animation,action-and-adventure,horror"
401,Handsome Devil,"drama,comedy,sport"
402,The Accountant of Auschwitz,"documentary,history"
403,The Siege of Jadotville,"action-and-adventure,drama,thriller,mystery,biography"
404,Hannah Gadsby: Douglas,"comedy,stand-up-and-talk"
405,Retribution,"thriller,action-and-adventure,drama,mystery"
406,My Happy Family,drama
407,Suffragette,"drama,history"
408,Period. End of Sentence.,documentary
409,Ittefaq,"mystery,thriller,crime"
410,The 24 Hour War,"documentary,history"
411,Underworld: Evolution,"action-and-adventure,fantasy,science-fiction,thriller,mystery"
412,Oceans,"documentary,drama,family"
413,Whisky,"comedy,independent,drama"
414,Our Souls at Night,"drama,romance"
415,Tinker Bell and the Legend of the NeverBeast,"animation,action-and-adventure,family,fantasy"
416,Before I Fall,"drama,mystery,thriller,fantasy"
417,The Sapphires,"biography,comedy,drama,romance,musical"
418,Cam,"thriller,mystery,horror"
419,The World Is Not Enough,"action-and-adventure,crime,thriller,mystery"
420,Everybody Knows,"crime,drama,mystery,thriller"
421,Shirkers,documentary
422,6 Underground,"action-and-adventure,thriller,comedy,mystery"
423,Hold the Dark,"thriller,mystery,horror,drama,action-and-adventure"
424,Bandits,"comedy,crime,drama,romance,documentary"
425,Beyond the Mat,"documentary,biography,sport"
426,Next Gen,"animation,action-and-adventure,comedy,family,science-fiction"
427,Hulk Vs.,"animation,fantasy,action-and-adventure,science-fiction"
428,Sarah's Key,drama
429,Filmworker,"documentary,biography"
430,Scary Movie,comedy
431,Session 9,"horror,mystery"
432,One Day,"romance,stand-up-and-talk,drama"
433,Soul Surfer,"biography,drama,sport,family"
434,Event Horizon,"horror,science-fiction,thriller,mystery"
435,Bathtubs Over Broadway,"documentary,comedy,musical"
436,Badla,"crime,drama,mystery,thriller"
437,Om Shanti Om,"action-and-adventure,comedy,drama,musical,romance,thriller"
438,The Dirt,"drama,comedy,musical,biography"
439,Okko's Inn,"animation,anime,action-and-adventure,drama,family,fantasy"
440,He Never Died,"comedy,drama,horror,fantasy,thriller,mystery"
441,The Exception,"drama,romance,documentary"
442,Anna Karenina,"drama,romance"
443,Let It Fall: Los Angeles 1982-1992,"documentary,history"
444,King Jack,"action-and-adventure,independent,drama,comedy,romance"
445,Underworld: Rise of the Lycans,"action-and-adventure,fantasy,thriller,science-fiction,mystery"
446,Ice Guardians,"documentary,sport"
447,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,"comedy,musical,documentary"
448,Mississippi Grind,"drama,comedy,mystery,thriller"
449,Bleach,"action-and-adventure,fantasy"
450,Black Sea,"action-and-adventure,thriller,drama,mystery"
451,Greater,"biography,family,sport,drama"
452,The Grandmaster,"action-and-adventure,biography,drama,romance,history"
453,2012,"drama,action-and-adventure,thriller,science-fiction"
454,The Water Diviner,"drama,history"
455,How to Change the World,"documentary,action-and-adventure,biography,history"
456,Gaga: Five Foot Two,"documentary,biography,musical"
457,Miles Davis: Birth of the Cool,"documentary,biography,musical"
458,Divines,"crime,drama"
459,Neruda,"biography,drama,crime,history,thriller,mystery"
460,What Lies Beneath,"drama,horror,mystery,fantasy,thriller"
461,Killing Them Softly,"crime,thriller,drama,mystery"
462,Dear Zindagi,"drama,romance"
463,Strong Island,documentary
464,While We're Young,"drama,comedy,mystery,thriller"
465,The Grinch,"animation,family,comedy,fantasy"
466,Uncorked,"drama,comedy"
467,"Nick Kroll & John Mulaney: Oh, Hello on Broadway",comedy
468,Time Trap,"action-and-adventure,science-fiction"
469,Wheelman,"action-and-adventure,thriller,crime,mystery"
470,LA Originals,documentary
471,Spitfire,"documentary,history"
472,They'll Love Me When I'm Dead,documentary
473,Bee Movie,"animation,action-and-adventure,comedy,family"
474,Quincy,"documentary,history,biography,musical"
475,He's Just Not That Into You,"comedy,drama,romance"
476,Sleeping with Other People,"comedy,drama,romance"
477,Harold and Lillian: A Hollywood Love Story,"documentary,biography"
478,Dance Academy: The Movie,drama
479,Killer Klowns from Outer Space,"comedy,horror,science-fiction"
480,Urban Cowboy,"drama,romance"
481,All the Bright Places,"drama,romance"
482,Just Go with It,"comedy,romance"
483,Furie,"thriller,action-and-adventure,mystery"
484,Fractured,"thriller,mystery"
485,Stuart Little,"animation,action-and-adventure,comedy,family,fantasy"
486,You Are My Sunday,"comedy,drama"
487,The World Is Yours,"comedy,crime"
488,Talaash,"crime,drama,mystery,thriller"
489,Ali's Wedding,"comedy,drama,romance"
490,Mission Control: The Unsung Heroes of Apollo,"documentary,history"
491,The Runaways,"biography,drama,history,musical"
492,Sanju,"drama,comedy,biography"
493,Just Friends,"comedy,romance"
494,The Photographer of Mauthausen,"history,drama,mystery,thriller,biography"
495,Spenser Confidential,"thriller,action-and-adventure,comedy,crime,drama,mystery,science-fiction,family,horror,fantasy"
496,We the Animals,drama
497,Berlin Syndrome,"thriller,drama,horror,mystery"
498,All Dogs Go to Heaven,"animation,comedy,drama,family,fantasy,musical"
499,Aśoka,"action-and-adventure,drama,history,biography,romance"
500,Dukhtar,"drama,thriller,mystery"
501,ZZ Top: That Little Ol' Band From Texas,"documentary,biography,musical"
502,Elena,"documentary,biography,drama,family"
503,Cadillac Records,"biography,drama,history,musical"
504,Chappaquiddick,"drama,history,thriller,mystery,comedy"
505,The Wandering Earth,"science-fiction,action-and-adventure,drama"
506,Stonehearst Asylum,"horror,thriller,drama,mystery"
507,Casper,"comedy,family,fantasy"
508,Qarib Qarib Singlle,"comedy,drama,romance"
509,Forks Over Knives,"documentary,food"
510,The Bill Murray Stories: Life Lessons Learned from a Mythical Man,documentary
511,Tigertail,drama
512,Haywire,"action-and-adventure,thriller,drama,mystery"
513,Parmanu: The Story of Pokhran,"drama,action-and-adventure,history"
514,Bad Day for the Cut,"thriller,action-and-adventure,crime,drama,mystery"
515,My Scientology Movie,documentary
516,Blame!,"animation,anime,science-fiction,drama,mystery,thriller,action-and-adventure"
517,White Fang,"drama,animation,action-and-adventure,family"
518,Pink,drama
519,Gridiron Gang,"crime,drama,sport,biography,action-and-adventure"
520,Trash,"action-and-adventure,comedy,crime,drama,mystery,thriller"
521,Deep Impact,"action-and-adventure,drama,science-fiction,romance,thriller,mystery"
522,Errementari: The Blacksmith and the Devil,"fantasy,horror"
523,PEEPLI [Live],"comedy,drama"
