,title,genres,year,originals,everything
1441,Slum Survivors,"documentary,reality",2014,0,"Series in which a group of young people are put through their paces as they embark on a crash course in urban survival in some of the world's biggest slums. documentary,reality"
1442,Small Shots,comedy,2017,0,"Small Shots is an American reality TV program about two young filmmakers traveling across the country, going to small towns and using real people to make short movie spoofs. It was shown on The New TNN. comedy"
1443,Smoking,"action-and-adventure,crime,drama",2018,0,"Seeking a greater justice, a band of homeless assassins flays their human targets and delivers the tattooed skins as proof of a contract fulfilled. action-and-adventure,crime,drama"
1444,Sniffer,"action-and-adventure,comedy,drama,crime",2013,0,"This a journey of a detective,his life and how things are to him. His life is about following people, finding though he is still in search for himself, how he connects to the people he meets and gets intertwined in their lives. action-and-adventure,comedy,drama,crime"
1445,Snow Wolf Family and Me,documentary,2014,0,Gordon Buchanan travels to the remote Canadian Arctic in search of wolves that have never seen people. documentary
1446,So Awkward,"comedy,children",2015,0,"A sitcom about three very academically bright, but socially awkward 13 year old girls, trying to make sense of life, boys and fitting in. Straight A, super-nerds LILY, MARTHA and JAS are an inseparable trio, bound together by brains, loyalty and embarrassment. While other girls their age are going to parties, netball practice and sleepovers, Lily, Martha and Jas are busy with chess club, homework and Friday nights in watching documentaries. They just don’t fit in with their peers and they don’t want to. They obsess over their grades, are baffled by teen trends, and have absolutely no understanding of boys. In spite of their ups and downs they are learning that it’s not only ok to be different, it’s important. They have their own unique take on the world and, crucially, they have each other. While they might be the three smartest girls in the class, they’ve got a lot to l comedy,children"
1447,Sofia the First,"animation,children,action-and-adventure,family,fantasy,musical",2013,0,"Set in the storybook world of Enchancia, this is the story of Princess Sofia, an adventurous little girl who is learning how to adjust to royal life after her mom marries the king and she becomes a princess overnight. animation,children,action-and-adventure,family,fantasy,musical"
1448,Solomon's Perjury,"drama,mystery,crime",2016,0,"A male student's body is found at school. Authorities assume that the student killed himself in a fall. Other students at the school hold a trial to uncover the truth behind his death. drama,mystery,crime"
1449,Some Assembly Required,"children,comedy,family",2014,1,"When fourteen-year-old Jarvis Raines gets a chemistry set from his Aunt Marlene for Christmas, he assumes it's just another boring gift. Boy is he wrong! The contents create a chemical reaction that destroys his houseso much for a Merry Christmas! After getting not even an apology from the manufacturer, Knickknack Toys, Jarvis takes them to court, wins, and ends up owning the company! children,comedy,family"
1450,Somebody Feed Phil,"documentary,comedy,food,travel",2018,1,"""Everybody Loves Raymond"" creator Phil Rosenthal travels the globe to take in the local cuisine and culture of Bangkok, Lisbon, Mexico City and more. documentary,comedy,food,travel"
1451,Someone Like You,"crime,drama,mystery,thriller,romance",2014,0,"A man loses everything in one day in a tragic car accident. Fang Zhan Cheng lost his fiancée, Liang Luo Han, but he also lost his own eyesight. Devastated by the loss of his fiancée, Zhan Cheng is inconsolable and even refuses a corneal transplant that could restore his vision. But his life takes an unexpected turn when Wang Yu Xi, who looks exactly like his fiancée, is hired to become Zhan Cheng’s day nurse. Another young woman, Xu Ya Ti, receives Luo Han’s heart in a transplant and begins to exhibit many of Luo Han’s mannerisms and personality. Caught between a woman who looks exactly like his beloved dead fiancée and another woman who behaves just like her, what will Zhan Cheng do? crime,drama,mystery,thriller,romance"
1452,Something in the Rain,"drama,romance,comedy,food",2018,0,"Explore the relationship of two people as they go from being “just acquaintances” to “a genuine couple” — Yoon Jin Ah, a coffee shop supervisor in her 30s, and Seo Joon Hee, a designer at a video game company who has just returned from working abroad. drama,romance,comedy,food"
1453,Somewhere Between,"drama,thriller,science-fiction,crime",2017,0,"Laura Price, a local news producer in San Francisco, is helping the police to hunt down a serial killer. After the killer strikes close to home, a twist of fate allows a “Groundhog Day”-type reset, and Laura relives the week prior to the string of murders. Can she change fate and stop the killer? drama,thriller,science-fiction,crime"
1454,Somewhere Only We Know,"romance,drama",2019,0,"Ph.D. candidate in Physics Mu Cheng He catches a third-year student in English Xue Tong cheating on an exam. When he even becomes the substitute teacher in her elective course Russian and makes her study with him after classes, her hatred for him only grows. Over time, however, Xue Tong discovers Teacher Mu’s true character and comes to secretly love him. romance,drama"
1455,Sonic X,"action-and-adventure,anime,animation,children,fantasy,science-fiction,comedy,drama,family,thriller,mystery",2003,0,"Sonic and his friends team up with 12 year old Christopher to collect all the Chaos Emeralds and defeat the evil Dr. Eggman. action-and-adventure,anime,animation,children,fantasy,science-fiction,comedy,drama,family,thriller,mystery"
1456,Sons of the Caliphate,No info,2016,0,"Three wealthy, power-hungry men tussle for sovereignty amid corrupt politics, passionate desires and family obligations. Ambitious and loyal, they are desperate to rule. But in this game of governorship, who will win the fight for control No info"
1457,SOTUS The Series,"drama,romance",2016,0,"The ""Gear"" is one of the engineering mechanical devices in the cogwheel system (as in a clock). Having one signifies that one is a student of the Faculty of Engineering. However, to get one, all engineering freshmen must first undergo the SOTUS (acronym for Seniority, Order, Tradition, Unity, and Spirit) system. Arthit (Perawat Sangpotirat), one of the third year seniors, often abuses his power over the freshmen by making them do things against the rules. Freshmen students are practically powerless to complain or resist any orders given by their seniors. Arthit was seemingly unstoppable, until Kongpob (Prachaya Ruangroj) stood up against the abuses by the former. Continual encounters between the two developed from animosity to something much more affectionate. drama,romance"
1458,Soul Eater,"action-and-adventure,anime,animation,comedy,fantasy,horror,science-fiction",2008,0,"Set at the ""Death Weapon Meister Academy"", the series revolves around three teams, each consisting of a weapon meister and weapon that can transform into a humanoid. Trying to make the latter a ""death scythe"" and thus fit for use by the academy's headmaster Shinigami, the personification of death, they must collect the souls of 99 evil humans and one witch, in that order; otherwise, they will have to start all over again. action-and-adventure,anime,animation,comedy,fantasy,horror,science-fiction"
1459,Soundtrack,"drama,musical,romance",2019,1,"Love, loss and transformative luck intersect in this musical drama about two struggling artists experiencing life at full volume in Los Angeles. drama,musical,romance"
1460,Space Dealers,No info,No info,0,"Larry McGlynn, Torie Lazaros and Cole Sommers compete in the search for, purchase and sale of space memorabilia. The trio tour museums, visit collectors and consult with astronauts to unearth items that have left and returned to Earth. No info"
1461,Space Force,comedy,2020,1,A four-star general begrudgingly teams up with an eccentric scientist to get the U.S. military's newest agency — Space Force — ready for lift-off. comedy
1462,Space Racers,"animation,family,children",2014,0,"Welcome to the fantastic world of Stardust Bay – the imaginative home of the Space Racers! This animated series geared toward preschool children offers a universe of fun for the entire family!  Enjoy stunning computer-generated imagery, real space sounds and images, and exciting storylines that teach exploration, investigation, observation and teamwork. animation,family,children"
1463,Sparta,"drama,mystery,crime",2018,0,"While investigating the mysterious death of a teacher, a grizzled detective gets caught up in the world of a high-stakes virtual reality game. drama,mystery,crime"
1464,Special,comedy,2019,1,A gay man with mild cerebral palsy decides to rewrite his identity as an accident victim and finally go after the life he wants. comedy
1465,Special Agent Oso,"animation,children,action-and-adventure,family,mystery",2009,0,"Special Agent Oso is a Disney Channel interactive animated series created by Ford Riley. Special Agent Oso hit the air on April 4, 2009 with a six episode block, and the companion 15-episode series Three Healthy Steps first aired from February 14 to February 27, 2011. The program was originally part of the Playhouse Disney block intended for preschoolers. On February 14, 2011, it was moved to the Disney Junior block that served as Playhouse Disney's replacement. It is shown on Mini CITV and ITV1 at 06:35am Sundays. The show will stay on Disney Junior because it is one of the main shows shown on Playhouse Disney. animation,children,action-and-adventure,family,mystery"
1466,Spectros,"fantasy,thriller,science-fiction",2020,1,"A group of teenagers gets unintentionally involved in a conflict between Japanese Shinto ghosts and Brazilian witchcraft. fantasy,thriller,science-fiction"
1467,Spinning Out,"drama,sport",2020,1,"Kat Baker is an up-and-coming, high-level single skater who is about to turn in her skates after a disastrous fall. When Kat seizes an opportunity to continue her career as a pair skater with a talented bad-boy partner, she risks exposing a fiercely kept secret that could unravel her entire life. drama,sport"
1468,Spirit: Riding Free,"animation,action-and-adventure,family,children",2017,1,"In a small Western town, spunky ex-city girl Lucky forms a tight bond with wild horse Spirit while having adventures with best pals Pru and Abigail. animation,action-and-adventure,family,children"
1469,Spirit Riding Free: Riding Academy,animation,2020,1,In a small Western town a young girl from the city forms a tight bond with wild horse Spirit while having adventures with her friends. animation
1470,Splash and Bubbles,"family,animation,action-and-adventure,musical,children",2016,0,"When a yellow fusilier fish settles down in a cozy coral reef town, he introduces the town's sheltered residents, including a Mandarin dragonet fish who quickly becomes his friend, to the amazing places and creatures beyond the town's walls. family,animation,action-and-adventure,musical,children"
1471,Sports Adventures,No info,2016,0,Sports Adventures has one or more episodes free on Tubi. It has 51 episodes over 2 seasons. Sports Adventures is still airing with no announced date for the next episode or season. No info
1472,Sports on Fire,"documentary,sport",2015,0,"Sports On Fire is an episodic, Half-Hour Documentary series that will bring you the world’s greatest athletes caught in the pivotal moments of modern history. In retelling the stories, we’re digging for the untold story, and in the process doing full-on myth-busting. To get there, Sports On Fire goes straight for the gold: the elite and forgotten athletes-from steroid users to bootleggers, to intersex world champions-to experts in the field, historians with an edge, the magical archive itself, and witnesses to the tragedies and celebrations. You will feel outrage and inspiration, shock and excitement, danger and rekindled patriotism. This is Sports On Fire. documentary,sport"
1473,Spotless,"crime,drama",2015,0,"Set in London, SPOTLESS is the story of a troubled crime scene cleaner, Jean, whose tidy life is turned upside down when his outlaw brother Martin crash lands into his world, entangling them in the deadly dynamics of organized crime. crime,drama"
1474,Spy Kids: Mission Critical,"animation,action-and-adventure,comedy,family,science-fiction",2018,1,"In this animated spinoff series, Juni and Carmen Cortez must battle the evil organization S.W.A.M.P. -- without the help of their super-spy parents. animation,action-and-adventure,comedy,family,science-fiction"
1475,Stand Up and Away! with Brian Regan,comedy,2018,1,Brian Regan blends his trademark observational stand-up with short sketches and a bit of audience interaction in this hybrid comedy series. comedy
1476,StarBeam,"animation,children",2020,1,"Zoey is excited to tackle second grade, but when danger beckons, she sneaks away and with her signature call out and transforms into StarBeam, the speediest, most powerful and most enthusiastic superhero to ever sip from a juicebox. animation,children"
1477,Star-Crossed,"drama,science-fiction,romance,fantasy",2014,0,"When Emery was 6 years old, an alien spacecraft crash-landed in her small town. Whether they came in peace or with more sinister intentions didn't matter: a fierce battle erupted as humans fought for control over their new rivals, an alien species called the Atrians. In the midst of the conflict, Roman, a 6-year-old Atrian boy, found his way to a shed behind Emery's house, where she temporarily protected him from harm, bringing him food, comfort - and friendship. Ten years later, the Atrians have been acclimated to life on Earth, but they are interned in a heavily-guarded camp known as the Sector to keep them separate from humans. Now, for the first time, a group of Atrian teens will enroll in a suburban human high school, with the goal of testing the feasibility of human/alien integration. Emery and Roman find each other again in a school and a society that distrusts everything about the Atrians. While the world around them rages with anger and prejudice, their bond becomes increasingly strong and increasingly dangerous. drama,science-fiction,romance,fantasy"
1478,Star Trek,"action-and-adventure,drama,science-fiction,fantasy",1966,0,"Space. The Final Frontier. The U.S.S. Enterprise embarks on a five year mission to explore the galaxy. The Enterprise is under the command of Captain James T. Kirk with First Officer Mr. Spock, from the planet Vulcan. With a determined crew, the Enterprise encounters Klingons, Romulans, time paradoxes, tribbles and genetic supermen lead by Khan Noonian Singh. Their mission is to explore strange new worlds, to seek new life and new civilizations, and to boldly go where no man has gone before. action-and-adventure,drama,science-fiction,fantasy"
1479,Star Trek: Deep Space Nine,"action-and-adventure,drama,science-fiction,fantasy",1993,0,"At Deep Space Nine, a space station located next to a wormhole in the vicinity of the liberated planet of Bajor, Commander Sisko and crew welcome alien visitors, root out evildoers and solve all types of unexpected problems that come their way. action-and-adventure,drama,science-fiction,fantasy"
1480,Star Trek: Enterprise,"action-and-adventure,drama,science-fiction,fantasy",2001,0,"During the mid-22nd century, a century before Captain Kirk's five-year mission, Jonathan Archer captains the United Earth ship Enterprise during the early years of Starfleet, leading up to the Earth-Romulan War and the formation of the Federation. action-and-adventure,drama,science-fiction,fantasy"
1481,Star Trek: The Next Generation,"action-and-adventure,drama,science-fiction,mystery,fantasy",1987,0,"Follow the intergalactic adventures of Capt. Jean-Luc Picard and his loyal crew aboard the all-new USS Enterprise NCC-1701D, as they explore new worlds. action-and-adventure,drama,science-fiction,mystery,fantasy"
1482,Star Trek: Voyager,"action-and-adventure,drama,science-fiction,fantasy",1995,0,"Pulled to the far side of the galaxy, where the Federation is 75 years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home. action-and-adventure,drama,science-fiction,fantasy"
1483,Station Horizon,"drama,comedy",2015,0,"The story of an Americana-obsessed Swiss valley community fighting for survival against the threat of modern society. To honor his recently deceased father, Joris returns on parole to the Wild West atmosphere of Horizonville, immediately finding himself face-to-face with demons from his past: his brother, Charly, his childhood rival, Raymond, and Latin beauty, Cheyenne. drama,comedy"
1484,Stay Here,"home-and-garden,reality,documentary",2018,1,"Designer Genevieve Gorder and real estate expert Peter Lorimer show property owners how to turn their short-term rentals into moneymaking showstoppers. home-and-garden,reality,documentary"
1485,Stay Tuned!,comedy,No info,0,"Hanako (Kyoko Yoshine) is a rookie reporter at local TV station in Sapporo. She keeps making mistakes at work, but they somehow turn out to become scoops or touching stories. While Hanako makes mistakes, people around her gets involved in the commotions caused by her. comedy"
1486,Steampunk'd,"game-show,reality",2015,0,"Contestants (also known as ""Makers"") work in teams and compete in a series of pressure-filled challenges designed to test their unique abilities to transform ordinary objects and fashion into creative masterpieces. Each week one of the 10 Makers will be eliminated and the last one standing will take home the $100,000 grand prize. As each project is completed, the Makers will unveil their work for the judges, including the leading authority on Steampunk, Thomas Willeford; Matt King, creator, writer and director of the series ""The World of Steam,"" and Kate ""Kato"" Lambert, the British model, entrepreneur and founder of Steampunk Couture, a clothing line featuring neo-Victorian, sci-fi and shabby chic fashion. game-show,reality"
1487,Stephen Fry in America,"documentary,travel",2008,0,"Stephen Fry journeys across America, hoping to visit all 50 states of the country which has always fascinated him. documentary,travel"
1488,Still Game,comedy,2002,0,Cult Scottish comedy about the lives of two OAP's (Old Age Pensioners) Jack and Victor and their views on how it used to be in the old days and how bad it is now in the fictional town of Craiglang. comedy
1489,Storage Wars: Northern Treasures,reality,2017,0,"In <b>Storage Wars: Northern Treasures</b> four teams of professional buyers seek treasures within repossessed storage units. This is a spin-off of the hit franchise <i>""Storage Wars.""</i><br /><br />On a daily basis, high-stakes buyers descend upon repossessed and forgotten storage units all across Canada. OLN's <i>``Storage Wars Canada''</i> follows four teams hoping to score big on a modern treasure hunt. Following Roy Dirnbeck, Cindy Hayden and Rick Coffill, Ursula Stolf and father-son duo Paul and Bogart Kenny, the series explores the world of these experienced and determined buyers. Having just five minutes to explore the unit before it goes up for auction, the buyers bid for a locker full of what could be a load of trash, or a grand treasure. With all levels of experience, these teams do whatever it takes to find the next big deal. reality"
1490,Stories by Rabindranath Tagore,drama,2015,0,"The characters of Tagore’s stories spring into life through the cinematic imagination of acclaimed filmmaker, Anurag Basu in ‘Stories By Rabindranath Tagore’. ‘Stories By Rabindranath Tagore’ shares with us the intricately etched characters created by the master himself and brought onto the small screen by the visionary director of ‘Barfi’ and ‘Life in a Metro.’ drama"
1491,StoryBots Super Songs,"animation,family,musical",2016,0,"Based on the award-winning educational apps, ""StoryBots Super Songs"" centers on the StoryBots, the curious little creatures who live in the world beneath our screens and help answer humans' biggest questions. animation,family,musical"
1492,Stranger,"crime,drama,mystery,thriller",2017,0,"Hwang Shi-Mok had brain surgery when he was a child, which caused him to lack emotion. Now, Hwang Shi-Mok works as a prosecutor. He is rational, but cold and lonely. He is also one of the only prosecutors not involved in corruption. One day, a dead body is thrown in front of him. He meets Police Lieutenant Han Yeo-Jin at a murder crime scene. They work together to eradicate corruption at the prosecutor's office and solve a serial murder case. crime,drama,mystery,thriller"
1493,Strangers From Hell,"horror,mystery,romance,thriller",2019,0,"Yoon Jong-Woo is a man in his 20's. He has lived in a small town for all of his life, but he gets a job at a small office in Seoul. Yoon Jong-Woo moves out to Seoul and stays at a cheap apartment which shares its kitchen and bathroom with other residents. He doesn't like staying at the apartment and he doesn't like the other residents who seem weird and suspicious. horror,mystery,romance,thriller"
1494,Stranger Things,"drama,fantasy,horror,mystery,science-fiction,thriller,action-and-adventure",2016,1,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl. drama,fantasy,horror,mystery,science-fiction,thriller,action-and-adventure"
1495,Strawberry Shortcake,"animation,children,family,musical",2003,0,"Strawberry and her friends, including her sister, Apple Dumplin', and her pony, Honey Pie, embark on sweet-smelling adventures in Strawberryland. animation,children,family,musical"
1496,Strawberry Shortcake's Berry Bitty Adventures,"animation,children,action-and-adventure,family,fantasy",2010,0,"Welcome to Berry Bitty City, a berry special little world under the leaves of a berry patch. It may be small, but Berry Bitty City is big on fun and adventure. It's where Strawberry Shortcake and all her friends live. Together, they prove that little girls can do berry big things. There's always something fun to do, and when someone needs help, her friends are always there to lend a hand. animation,children,action-and-adventure,family,fantasy"
1497,Street Fighter,"animation,action-and-adventure,comedy,fantasy,science-fiction",1995,0,"Street Fighter is a Japanese-American animated television series produced by InVision Entertainment in corporation with Madhouse and Sunrise, based on the Street Fighter live action movie, which was in turn based on the Street Fighter video game franchise by Capcom. The series aired as part of the USA Network's Cartoon Express and Action Extreme Team lineups. It lasted two 13-episode seasons which aired from 1995 to 1997, for a total of 26 episodes. animation,action-and-adventure,comedy,fantasy,science-fiction"
1498,Street Food,"documentary,food",2019,1,"Embark on a global cultural journey into street food and discover the stories of the people who create the flavorful dishes. documentary,food"
1499,Stretch Armstrong & the Flex Fighters,"animation,action-and-adventure,comedy",2017,1,"When overscheduled teenager Jake Armstrong and his two best friends are accidentally exposed to an experimental chemical, they become Stretch Armstrong and the Flex Fighters, a team of unlikely superheroes who expand beyond the confines of their lives and embark on a series of adventures. animation,action-and-adventure,comedy"
1500,Strong,reality,2016,0,"Strong features 20 contestants, which include 10 male trainers and 10 female trainees. The trainers work on helping their trainees improve their physical fitness, not only through losing weight but also through achieving a balance between mind and body, and getting into shape both physically and mentally. After a series of challenges, two teams will face each other in a physical competition in the Elimination Tower, with the losing team being eliminated from the series. The winning team will receive a cash prize of up to $500,000, depending on their overall performance in the show. reality"
1501,Strong Woman Do Bong Soon,No info,soon,0,"Strong Woman Do Bong Soon is not currently available to stream, rent, or buy but you can track it for updates. It has 16 episodes over 1 season. Strong Woman Do Bong Soon is still airing with no announced date for the next episode or season. No info"
1502,Stunt Science,"action-and-adventure,documentary,sport",2018,0,"A team of experts break down the world's most extraordinary stunt clips, and work out how they were (or weren't) achieved. action-and-adventure,documentary,sport"
1503,Styling Hollywood,"documentary,reality",2019,1,"Stylist and interior designer Jason Bolden and husband Adair Curtis of JSN Studio make the magic happen on the red carpet and at home for A-listers. documentary,reality"
1504,Suburra: Blood on Rome,"action-and-adventure,crime,drama",rome,1,"In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican. action-and-adventure,crime,drama"
1505,Sugar,drama,rush,0,No description drama
1506,Sugar Rush Christmas,"food,game-show",2019,1,"It's everything you love about ""Sugar Rush"" -- with a holly jolly holiday twist -- in this Christmas-themed spin on competitive baking. food,game-show"
1507,Suits,"crime,drama,thriller",2018,0,"Choi Kyung Seo is a legendary lawyer at the top law firm in South Korea. He has charisma and an attractive appearance. He hires Go Yeon Woo as a rookie lawyer for the law firm. Go Yeon Woo has excellent memory. crime,drama,thriller"
1508,Summertime,"drama,romance,comedy",2020,1,"A modern love story set during the summer on Italy’s Adriatic Coast. An undeniable attraction brings together Ale and Summer, who come from very different worlds. For both, these holidays will be an unforgettable journey that will take them far from who they were before they met. drama,romance,comedy"
1509,Sunderland 'Til I Die,"documentary,sport",2018,1,"This docuseries follows English soccer club Sunderland through the 2017-18 season as they try to bounce back after relegation from the Premier League. documentary,sport"
1510,Super 4,"animation,action-and-adventure,comedy",2014,0,"Four characters, all exiles from various Playmobil worlds, embark on a series of adventures. animation,action-and-adventure,comedy"
1511,Super Bheem,animation,2017,0,"In this 3D-animated spinoff from the Chhota Bheem series, valiant superhero Bheem goes beyond his village to fight the good fight across the universe. He rides a dragon in the sky and battles celestial enemies. Now, the protector of Dholakpur is a guardian of the galaxy! animation"
1512,Super Drags,"animation,lgbtq,comedy,fantasy",2018,1,"In this adult animated series, three gay co-workers lead double lives as drag queen superheroes, saving the LGBTQ community from evil nemeses. animation,lgbtq,comedy,fantasy"
1513,Supergirl,"drama,fantasy,action-and-adventure,science-fiction",2015,0,"Twenty-four-year-old Kara Zor-El, who was taken in by the Danvers family when she was 13 after being sent away from Krypton, must learn to embrace her powers after previously hiding them. The Danvers teach her to be careful with her powers, until she has to reveal them during an unexpected disaster, setting her on her journey of heroism. drama,fantasy,action-and-adventure,science-fiction"
1514,Super Monsters,"animation,comedy,family,horror,children",2017,1,"Preschool kids whose parents are the world's most famous monsters try to master their special powers while preparing for kindergarten. animation,comedy,family,horror,children"
1515,Supernatural,"drama,fantasy,horror,mystery,science-fiction,thriller",2005,0,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. drama,fantasy,horror,mystery,science-fiction,thriller"
1516,Supervolcano,"drama,action-and-adventure,thriller,science-fiction",2005,0,"Two-part drama chronicling the eruption of a supervolcano in the United States. drama,action-and-adventure,thriller,science-fiction"
1517,Super Wings!,"animation,action-and-adventure,family,science-fiction,children",2015,0,"An action-packed preschool series about an adorable jet plane named Jett who travels the world delivering packages to children. On every delivery, Jett encounters a new problem that the he and his friends the Super Wings must work together to solve! animation,action-and-adventure,family,science-fiction,children"
1518,Surveillance Oz,No info,2012,0,"Surveillance Oz is not currently available to stream, rent, or buy but you can track it for updates. It has 18 episodes over 3 seasons. Surveillance Oz is still airing with no announced date for the next episode or season. No info"
1519,Surviving R. Kelly,"documentary,crime,musical",2019,0,"Celebrated as one of the greatest R&B singers of all time, R. Kelly’s genre defining career and playboy lifestyle has been riddled with rumors of abuse, predatory behavior, and pedophilia. Despite damning evidence and multiple witnesses, to date, none of these accusations have seemingly affected him. For the first time ever, survivors and people from R. Kelly’s inner circle, are coming forward with new allegations about his sexual, mental, and physical abuse. They are now finally ready to share their full story and shed light on the secret life the public has never seen. documentary,crime,musical"
1520,Sweet Magnolias,"drama,romance",2020,1,"Lifelong friends Maddie, Helen and Dana Sue lift each other as they juggle relationships, family and careers in the small, Southern town of Serenity. drama,romance"
1521,Swift and Shift Couriers,comedy,2008,0,"Swift and Shift Couriers is an Australian comedy television series that first screened on SBS TV in October 2008. The series is produced, directed and written by Paul Fenech, who was also responsible for the comedy series Pizza. It is set around the staff who work at the 'Swift and Shift' Courier Company, in the central business district of Sydney. Episodes have been partly filmed in Egypt and Thailand.The second season of ""Swift and Shift Couriers"" began screening on 15 August 2011 on SBS One. comedy"
1522,Switched,"drama,mystery",2018,1,"High schooler Ayumi's perfect world evaporates when her envious classmate Zenko somehow steals her body, her boyfriend and her life. drama,mystery"
1523,Sword Art Online,"action-and-adventure,anime,animation,comedy,drama,fantasy,romance,science-fiction,thriller,mystery",2012,0,"In the near future, a Virtual Reality Massive Multiplayer Online Role-Playing Game (VRMMORPG) called Sword Art Online has been released where players control their avatars with their bodies using a piece of technology called Nerve Gear. One day, players discover they cannot log out, as the game creator is holding them captive unless they reach the 100th floor of the game's tower and defeat the final boss. However, if they die in the game, they die in real life. Their struggle for survival starts now... action-and-adventure,anime,animation,comedy,drama,fantasy,romance,science-fiction,thriller,mystery"
1524,Sword Art Online Alternative: Gun Gale Online,"animation,anime,action-and-adventure,fantasy,science-fiction",2018,0,"A shy university student in Tokyo, Karen Kohiruimaki stands in stark contrast to her in-game avatar—in fact, she happens to stand above everyone else too, much to her dismay. Towering above all the people around her, Karen's insecurities over her height reach the point where she turns to the virtual world for an escape. Starting game after game in hopes of manifesting as a cute, short character, she finally obtains her ideal self in the world of Gun Gale Online. Overjoyed by her new persona, she pours her time into the game as LLENN, garnering her reputation as the legendary player killer. However, when one of LLENN's targets gets the best of her, she ends up meeting Pitohui, a skilled yet eccentric woman. Pitohui insists that LLENN participates in Squad Jam, a battle royale. Thrust into the heated competition, LLENN must fight with all her wit and will if she hopes to shoot her way to the top. animation,anime,action-and-adventure,fantasy,science-fiction"
1525,SWORD GAI: The Animation,"animation,anime,action-and-adventure,fantasy,horror,science-fiction",2018,1,"A young man becomes host to a legendary infernal sword and, with the fate of humanity now in his arm, wields its demonic power against his enemies. animation,anime,action-and-adventure,fantasy,horror,science-fiction"
1526,Sylvanian Families,"animation,family,fantasy",1987,0,"Sylvanian Families is a line of collectible anthropomorphic animal figurines made of flocked plastic. They were created by the Japanese gaming company Epoch in 1985 and distributed worldwide by a number of companies. The figures remain a quintessential part of the 1990s boom in craze toys, spaning several animated adaptations and video games based on the figures. The word sylvan means 'of the forest'. animation,family,fantasy"
1527,Sym-Bionic Titan,"action-and-adventure,animation,drama,family,science-fiction,thriller",2010,0,"Sym-Bionic Titan is an American animated action science fiction television series created by Genndy Tartakovsky, Paul Rudish, and Bryan Andrews for Cartoon Network. The series focuses on a trio made up of the alien princess Ilana, the rebellious soldier Lance, and the robot Octus; the three are able to combine to create the titular Sym-Bionic Titan. A preview of the series was first shown at the 2009 San Diego Comic-Con International, and further details were revealed at Cartoon Network's 2010 Upfront. The series premiered on September 17, 2010, and ended on April 9, 2011. The series is rated TV-PG-V.Cartoon Network initially ordered 20 episodes; Tartakovsky had hoped to expand on that, but the series was not renewed for another season, as the show ""did not have any toys connected to it."" Although Sym-Bionic Titan has never been released on DVD, All 20 episodes are available on iTunes.On October 7, 2012, reruns of Sym-Bionic Titan began airing on Adult Swim's Toonami block. action-and-adventure,animation,drama,family,science-fiction,thriller"
1528,Tabula Rasa,"thriller,drama",rasa,1,"A psychological thriller about Mie, a young woman with amnesia who is locked up in a secure psychiatric hospital. Mie is visited by Detective Inspector Wolkers who claims she was the last person seen with the vanished Thomas Spectre. As a witness and prime suspect, she appears to be the sole key to this mysterious disappearance. In order to solve the puzzle and find Thomas, Mie has to reconstruct her lost memories and find her way back through the dark labyrinth of her recent past. thriller,drama"
1529,Taco Chronicles,"documentary,reality,food",2019,1,"An eye-opening, mouth-watering exploration through the long, rich history of the world's best tacos. documentary,reality,food"
1530,Taj Mahal 1989,"comedy,drama,romance",2020,1,"In and around Lucknow University in 1989, couples of varying ages explore the politics of love through marriage, budding romances and friendships. comedy,drama,romance"
1531,Take My Brother Away,"drama,children,comedy,family",2018,1,"Impoverished teenage siblings struggle to live together, with one hoping to escape living in her ne'er-do-well brother's shadow. drama,children,comedy,family"
1532,Taken,"action-and-adventure,drama,thriller,crime",2017,0,"The origin story of younger, hungrier, former Green Beret Bryan Mills as he deals with a personal tragedy that shakes his world. As he fights to overcome the incident and exact revenge, Mills is pulled into a career as a deadly CIA operative, a job that awakens his very particular, and very dangerous, set of skills. action-and-adventure,drama,thriller,crime"
1533,Tales by Light,documentary,2015,1,"Behind every powerful image is a powerful story. Uniting exploration, photography and the natural world, Tales By Light follows photographers from Australia and around the world as they push the limits of their craft. Told from the eye of the storyteller, follow these extraordinary artists as they work to capture the perfect image and show us our world in a new light. documentary"
1534,Tales of Irish Castles,documentary,2015,0,"Actor Simon Delaney explores the great stories and characters associated with the most beautiful, notorious and historical castles built across Ireland. documentary"
1535,Tales of the City,"drama,family",2019,1,"Mary Ann returns to present-day San Francisco and is reunited with her daughter and ex-husband, twenty years after leaving them behind to pursue her career.  Fleeing the midlife crisis that her picture-perfect Connecticut life created, Mary Ann is quickly drawn back into the orbit of Anna Madrigal, her chosen family and a new generation of queer young residents living at 28 Barbary Lane. drama,family"
1536,Talking Tom and Friends,"animation,action-and-adventure,comedy,family,reality",2014,0,"Armed with technological gear, great ideas and an unfailing sense of humour, Talking Tom and his friends are on a mission to reach stardom at all costs. animation,action-and-adventure,comedy,family,reality"
